tieu_de,mo_ta,dien_tich_dat,dien_tich_su_dung,chieu_ngang,tong_so_tang,so_phong_ngu,loai_hinh,giay_to_phap_ly,tinh_trang_noi_that,huong_cua_chinh,dac_diem,dia_chi_cu,dia_chi_moi,gia_ban
Nhà hẻm cách đường mặt tiền 20m,"Nhà hẻm cách đường mặt tiền 20m
Nhà ở khu vực cao không ngập lụt, khu dân cư yên tĩnh,... 
Gần trường học cán bộ TPHCM, siêu thị, chợ,.... 
Giá 2 tỷ 850 còn thương lượng
Sổ hồng chính chủ 
LH ***",18.0,18.0,3.0,1.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,bac,hien_trang_khac,phuong_12_quan_binh_thanh,phuong_binh_thanh,2.85
Nhà hẻm cách mặt tiền 20m,"Nhà trong hẻm cách đường lớn 20m
Khu dân cư yên tĩnh, không ngập lụt, gần trường học cán bộ TPHCM, siêu thi, chợ,... 
Diện tích 3x 6,5m 
Giá 2 tỷ 850 còn thương lượng
Sổ hồng chính chủ 
LH ***",20.0,20.0,3.076923076923077,2.0,2.0,nha_ngo_hem,chua_xac_dinh,chua_xac_dinh,bac,hien_trang_khac,phuong_12_quan_binh_thanh,phuong_binh_thanh,2.85
"Nhà mới xây 3x11,5, 2 tầng, diện tích sử dụng 68m2, nội thất đầy đủ","Nhà mới xây, 2 phòng ngủ rộng + ban công rộng, 2 toilet, phòng khách, phòng bếp + bàn ăn
Nội thất cao cấp, giường, tủ, bếp, tủ lạnh tivi, máy lạnh, máy giặt, ghế sofa, bàn ăn, nước nóng năng lượng mặt trời, chỉ cần xách valy vào ở liền.
Hẻm ba gác, cách hẻm ô tô 20m
Bán kính 500m tiện ích đầy đủ chợ, trường học, phòng Gym, siêu thị Emart, đại lộ Phạm Văn Đồng, đi sân bay chưa tới 10 phút…
Pháp lý chuẩn, khu dân trí cao, yên tĩnh.
Sổ sẵn, hoàn công đủ, công chứng trong ngày.
Hỗ trợ vay bank",34.0,68.0,2.9565217391304346,2.0,2.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,dong_bac,hien_trang_khac,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,5.959
Nơ Trang Long – 2 tầng đúc 2PN 2WC full nội thất giáp Quận 1 3.9 tỏi,"📣🔥 QUỐC KIỆT NHÀ PHỐ 🔥📍

Một buổi sáng mở cửa, vài bước chân là tới Bệnh viện Gia Định… khu trung tâm mà giá còn mềm thế này – không nhanh là tiếc.

Nơ Trang Long P.Gia Định Bình Thạnh – Hẻm ô tô – 2 tầng đúc 2PN 2WC – full nội thất – giáp Quận 1 – 3.9 tỏi

📍 Vị trí:
Đường Nơ Trang Long, ngay Bệnh viện Gia Định, Ung Bướu, sát mặt tiền Phan Đăng Lưu.
Từ nhà chạy vài phút là qua Quận 1 – đi làm, đi học hay kinh doanh đều tiện.
Khu dân cư hiện hữu, gần trường học, ngân hàng, tiện ích đầy đủ.

📐 Diện tích:
20m² (3.8x6) – nhỏ gọn nhưng bố trí cực kỳ hợp lý.

🏗 Kết cấu:
1 trệt 1 lầu đúc kiên cố.
2 phòng ngủ, 2WC.
Nhà mới keng, sáng sủa, vô ở liền không cần sửa sang.

🛋 Nội thất:
Đầy đủ cơ bản – khách chỉ cần xách vali vào là ở.

Hẻm:
Hẻm sạch sẽ, an ninh, dân trí cao.

📜 Pháp lý:
Sổ hồng riêng, hoàn công đủ – công chứng ngay.

💰 Giá chào: 3.9 tỏi – khu giáp Quận 1 mà tầm giá này cực hiếm.

Anh chị đang tìm căn nhỏ gọn, tài chính vừa phải, ở trung tâm Bình Thạnh – đây là lựa chọn rất đáng xem.",20.0,40.0,3.3333333333333335,2.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong_bac,hien_trang_khac,phuong_13_quan_binh_thanh,phuong_binh_loi_trung,3.9
"Gấp bán ""6.7 Tỷ giảm về 6.1 Tỷ"" - Bán đất tặng nhà 2 tầng 50m2 P.6","Vị trí Hoàng Hoa Thám P.6 Bình Thạnh
+ Diện tích: 4.2m x 12m
+ Hiện trạng: 2 tầng. Có 2PN
+ Nhà cũ theo thời gian phù hợp phương án cải tạo lại hoặc xây dựng mới
+ Khu xây dựng 5 tầng
+ Hẻm xe hơi 

""Nhận ký gửi và hỗ trợ định giá miễn phí nhà đất Sài Gòn""
Miễn tiếp môi giới",50.0,90.0,4.166666666666667,2.0,2.0,nha_ngo_hem,da_co_so,hoan_thien_co_ban,tay,hem_xe_hoi,phuong_6_quan_binh_thanh,phuong_binh_loi_trung,6.19
🌈🌈HÀNG HIẾM🚘 HẺM Ô TÔ TỚI CỬA - 44M2 - 2 TẦNG -PHAN CHU TRINH-BÌNH THẠ,"🏗️ Kết cấu: 2 tầng-Gồm 2 PN-2WC
📐DT : 3.6m ❌ 12m
📍Gần chợ bà chiểu, Bạch Đằng, trường học... sát Q1, tiện ích đầy đủ
📚Pháp lý chuẩn",44.0,44.0,3.6666666666666665,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_bac,hem_xe_hoi,phuong_24_quan_binh_thanh,phuong_binh_thanh,5.5
ĐINH BỘ LĨNH NHÀ MỚI 3 TẦNG - 2 PN 2WC - HẺM AN NINH - FULL NỘI THẤT,"📣🔥 QUỐC KIỆT NHÀ PHỐ 🔥📍


Nằm trên trục Đinh Bộ Lĩnh – khu vực sôi động, di chuyển đâu cũng tiện – nhưng căn nhà lại ẩn mình trong con hẻm thông yên tĩnh, sạch sẽ, hàng xóm hiền hòa.

✨ Vị trí: Đinh Bộ Lĩnh, phường trung tâm quận Bình Thạnh – vài phút là qua Quận 1, bến xe, trường học, chợ đều sát bên.
✨ Diện tích: 14m² – nhỏ gọn nhưng bố trí cực kỳ hợp lý.
✨ Kết cấu: 1 trệt 2 lầu đúc kiên cố.

Tầng trệt: phòng khách + bếp gọn gàng.

Lầu 1 & 2: 2 phòng ngủ riêng tư, 2WC đầy đủ.
✨ Hiện trạng: Nhà mới, sạch sẽ, thiết kế hiện đại. Chủ tặng full nội thất – giường, tủ, máy lạnh… chỉ xách vali vào ở.
✨ Hẻm:an ninh, sạch sẽ
✨ Pháp lý: Sổ hồng riêng, hoàn công đủ, chủ bao sang tên nhanh gọn.


Căn nhà phù hợp cho vợ chồng trẻ, người độc thân làm việc trung tâm, hoặc mua giữ tiền cho thuê vì khu này lúc nào cũng có nhu cầu.

💰 Giá: 2 tỏi 75 
Phân khúc nhà mới dưới 3 tỏi tại khu vực này gần như rất hiếm.",14.0,42.0,3.5,3.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay_nam,hien_trang_khac,phuong_26_quan_binh_thanh,phuong_binh_thanh,2.75
"NHÀ MỚI XINH TRUNG TÂM BÌNH THẠNH 🌿 24M² – 2PN, 2WC – THIẾT KẾ HIỆN ĐẠ","🏡 NHÀ MỚI XINH TRUNG TÂM BÌNH THẠNH
🌿 24M² – 2PN, 2WC – THIẾT KẾ HIỆN ĐẠI
💎 GIÁ HỢP LÝ CHỈ 4 TỶ 7

⸻

📌 THÔNG TIN CHUẨN – VỊ TRÍ ĐẸP
• Đường Tăng Bạt Hổ, P.11, Bình Thạnh – khu dân cư văn minh, hẻm thông 3m, sạch sẽ.
• Tiện ích đủ đầy: gần chợ Phan Văn Trị, BV Gia Định, BV Ung Bướu, trường học các cấp.
• Kết nối nhanh về Quận 1 – Phú Nhuận – Gò Vấp, phù hợp gia đình nhỏ hoặc vợ chồng trẻ tìm nơi ở trung tâm.

🏠 KẾT CẤU – CÔNG NĂNG RÕ RÀNG
• 1 trệt + 1 gác lửng.
• 2 phòng ngủ lệch tầng thoáng sáng, có cửa sổ và ban công.
• 2 WC riêng thuận tiện sinh hoạt.
• Phòng khách – bếp mở, bố trí hợp lý, nhà mới, chỉ cần dọn vào ở.

📦 Hiện trạng: Nhà trống – bàn giao ngay.
💰 Giá bán: 4 tỷ 7 (thương lượng thiện chí).
🔐 Pháp lý: Hồ sơ đầy đủ, hỗ trợ công chứng theo quy định.

⸻

📲 Đặt lịch xem nhà thực tế – Tài hỗ trợ nhanh, linh hoạt
#Lh_***_Tài",24.0,50.0,3.4285714285714284,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,tay_bac,hien_trang_khac,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,4.7
Chính chů cân bán nhà binh thanh,"- Bán nhà võ duy ninh bình thanh phương 22
- Giá : 5 ty 450 tr 
- Kêt câu : 1 trêt 1 lâu 
- Gôm : 2 phòng ng 2 vs
- DT : 4m x 12m5 dtcn 38m7 dtsn 65m5 hâu 4m25 
- Sô hông riêng công chưng liên hô trơ vay ngân hàng 
- Vi tri : 15 m ra ngay hem xe hơi xe tåi trươc nhà 2m5 khu vưc an ninh ngay chơ , nhà thơ , chùa , hem thông ra nguyên hưu cånh , di chuyên ra các tuyên đương chín khu trung tâm 
- Thông tin thât giá thât 
- Gia : 5 ty450 tr thương lương 
- LH : *** xem nhà",38.7,65.5,3.096,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_nam,nha_no_hau,phuong_22_quan_binh_thanh,phuong_thanh_my_tay,5.45
Nhà Mới Xây 2 Lầu - Dưới 4Tỷ - Cảnh Hẻm Xe Hơi,"❌❌ Nhà Mới Xây Siêu Phẩm ❌❌
 Hoàng Hoa Thám - P.7 - Bình Thạnh

▪️ Diện Tích: DTSD 60m2 Sổ Vuông
▪️ Kết Cấu: 2Lầu 2PN Sẵn Full Nội Thất Xịn Sò - Chỉ Xách Vali Vào Ở 
👉 Khu vực: Cách 15m Ra Hẻm Xe Hơi 

💰 Giá: 3Tỷ98
📞 Liên hệ *** - Em Kha để xem nhà Thương Lượng Trực Tiếp",20.0,60.0,2.6076809620810595,3.0,2.0,nha_ngo_hem,chua_xac_dinh,chua_xac_dinh,dong,hien_trang_khac,phuong_7_quan_binh_thanh,phuong_gia_dinh,3.98
